19,18.4,120
20.998,18.32,120
22.998,18.285,120
24.998,18.296,120
26.997,18.356,120
28.994,18.463,120
30.988,18.621,120
32.977,18.829,120
34.96,19.09,120
36.935,19.403,120
38.901,19.77,120
40.856,20.192,120
42.797,20.671,120
44.724,21.206,120
46.634,21.8,120
48.524,22.453,120
50.393,23.166,120
52.236,23.941,120
54.052,24.779,120
55.838,25.679,120
57.59,26.643,120
59.307,27.669,120
60.982,28.761,120
62.614,29.918,120
64.198,31.138,120
65.732,32.421,120
67.21,33.768,120
68.63,35.177,120
69.988,36.645,120
71.279,38.172,120
72.501,39.755,120
73.651,41.391,120
74.725,43.078,120
75.72,44.812,120
76.637,46.59,120
77.473,48.406,120
78.224,50.26,120
78.892,52.145,120
79.478,54.057,120
79.981,55.992,120
80.401,57.947,120
80.739,59.918,120
80.998,61.901,120
81.18,63.893,120
81.286,65.89,120
81.319,67.89,120
81.281,69.889,120
81.203,71.5,120
81.203,71.5,0
